name,symbol,description
MoonPepe,MOPE,To the moon or bust frog style
WAGMI Token,WAGMI,We all gonna make it together
DogeDust,DDST,Sprinkle some doge magic
CakeInu,CAKE,Sweetest doge baked on chain
CheemsCoin,CHEEMS,The little shy doge with big dreams
ShibaSzn,SHZN,Season of the Shiba always
PupperCash,PUP,For good boys and girls only
RugPullRug,RUGR,Never pull only push gains
ShartCoin,SHRT,Meme gas but make it coin
PepePlz,PPLZ,Frog begging for gains
FomoFomo,FOMO,Fear of missing out degen play
HODLer,HDLR,Grip those coins never slip
DankToken,DANK,Stoner meme vibes
FlipCoin,FLIP,Heads you win tails you cry
GME2,GM2,Gamestonk v2 hype
FrogGO,FRGO,Ribbit into the gains
ShillMe,SHILL,Shill me harder fam
MILKcoin,MILK,Milk your bags dry
VibeCoin,VIBE,Buy only if the vibes are right
WenMoon,WMN,Asking since 2017
PezToken,PEZ,Candy flavored meme coin
PepeSaurus,PSAU,Dinosaur frog power
GhostRug,GRUG,The rug you never saw
Bonkeroo,BONKR,Bonk your bags up
YoloCoin,YOLO,You only live once just ape
Chonk,CHNK,Fat frog energy
Bork,BORK,Doggo bark power
ToTheMars,TTM,Beyond moon to mars
PupperInu,PINU,Doge cousin
Cheeze,CHZ,Smells like profit
SoupCoin,SOUP,Slurp those gains
Shibnado,SHBN,A storm of shibas
Snacc,SNACC,Snack size pumps
PogCoin,POG,Poggers crypto moment
ZoomCoin,ZOOM,Zooming past bears
Mooncake,MOONC,Sweet moon pie gains
DOGEFi,DOGEFI,Doge finance spin
Ribbit,RBT,Frog call echo
FrogOnFire,FOF,Frog heating markets
MEMEFi,MFI,Meme meets defi
ZuckCoin,ZUCK,Social media frog token
FlokiFlop,FLF,Floki but wonâ€™t flop
Pumpkin,PUMP,Pumpkin spice pumps
CocoCoin,COCO,Banana gang support
CheekyPepe,CKPE,Cheeky frog vibes
Sniff,SNIF,Sniff out alpha
InuNova,INU,Shiba supernova
GhostPepe,GPE,Fantom frog
BananaCoin,BANA,Slippery meme pump
MoonRug,MRUG,Rug but branded moon
TacoDoggo,TACO,Doge with tacos
PepeDope,PDPE,Dope frog culture
ShibaWave,SHBW,Catch the shiba wave
FudZapper,FUDZ,Zap away your doubts
PepeMatrix,PMTX,Red pill frog
ShibArmy,SHARM,Shiba army on chain
DOGEgang,DGNG,Doge community vibes
Toadz,TOADZ,Toad gang rise
RoflCoin,ROFL,Laugh to the bank
SniperPepe,SNPE,Frog sniper mode
ShillSquad,SHSQ,Shill together strong
MoonRabbit,MRAB,Rabbit moon run
PepeBoop,PBOOP,Boop the frog
WenLambo,WENL,Lambo question answered
Cheemington,CHMG,Classy cheems
ShibKiwi,SKWI,Kiwi flavored shiba
Frogvu,FRVU,Frog says f u
CakePepe,CAPE,Frog cake hybrid
PepeDust,PEPD,Dust of the frog
ShibaDash,SHBD,Dash with shibas
PepeFart,PFT,Frog gas leak
MoonSushi,MSHI,Sushi on the moon
DegenFrog,DFRG,Frog for degens
ShibaNest,SHBN,Safe home for shibas
BanPepe,BPEP,Banana frog collab
FlokiWoke,FLOKW,Woke floki energy
PepeCheese,PCHZ,Cheese frog
ShibMatic,SBTC,Polygon shiba hype
FunkyFrog,FKFG,Funky frog energy
PepeGold,PEGLD,Frog dripping gold
MoonBuff,MNBF,Muscle moon energy
ShibaDust,SHDT,Shiba dust storms
PepeNova,PNVA,Supernova frog
ShibRocket,SHRK,Shiba rocketship
PepeGasm,PGASM,Frog ecstasy token
ShivaInu,SHVN,Hindu god meets shiba
RugBuster,RBST,Rug killer squad
MeowDoge,MDOG,Catdog crossover
PepeGlitch,PGLT,Glitched frog
AlphaPepe,ALPE,Alpha frog dominance
LittlePepe,LPEP,Small frog big energy
HyperMoon,HYMO,Hyperdrive moon run
FlokiFi,FLOX,Floki defi fusion
SnorterBot,SNRT,Snipe bot mascot
MaxiDoge,MAXI,Doge maximalist token
WePe,WEPE,Wall street pepe
ZaddyCoin,ZADDY,Meme coin with swagger
PumpMeme,PUMPY,Pump only vibes
MoonDust,MDST,Star dust meme coin
Frogo,FRGO,Frog go simple
MegaMoon,MMOON,Moon but mega
ChillGuy,CHLG,Chill frog variant
PepeBolt,PBLT,Lightning frog vibes
TrumpToken,TRUMP,Orange man coin
MelaniaCoin,MEL,First lady meme coin
PumpFun,PFUN,Pump for fun coin
